Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M5B,Population and dwelling counts,Population in 2011,,,,,,11352
M5B,Population and dwelling counts,Population in 2006,,,,,,
M5B,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5B,Population and dwelling counts,Total private dwellings,,,,,,7425
M5B,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6549
M5B,Population and dwelling counts,Population density per square kilometre,,,,,,
M5B,Population and dwelling counts,Land area (square km),,,,,,
M5C,Population and dwelling counts,Population in 2011,,,,,,2974
M5C,Population and dwelling counts,Population in 2006,,,,,,
M5C,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5C,Population and dwelling counts,Total private dwellings,,,,,,1866
M5C,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,1738
M5C,Population and dwelling counts,Population density per square kilometre,,,,,,
M5C,Population and dwelling counts,Land area (square km),,,,,,
M5E,Population and dwelling counts,Population in 2011,,,,,,6436
M5E,Population and dwelling counts,Population in 2006,,,,,,
M5E,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5E,Population and dwelling counts,Total private dwellings,,,,,,4280
M5E,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,3982
M5E,Population and dwelling counts,Population density per square kilometre,,,,,,
M5E,Population and dwelling counts,Land area (square km),,,,,,
M5G,Population and dwelling counts,Population in 2011,,,,,,7001
M5G,Population and dwelling counts,Population in 2006,,,,,,
M5G,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5G,Population and dwelling counts,Total private dwellings,,,,,,4788
M5G,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,4055
M5G,Population and dwelling counts,Population density per square kilometre,,,,,,
M5G,Population and dwelling counts,Land area (square km),,,,,,
M5H,Population and dwelling counts,Population in 2011,,,,,,1027
M5H,Population and dwelling counts,Population in 2006,,,,,,
M5H,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5H,Population and dwelling counts,Total private dwellings,,,,,,1103
M5H,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,720
M5H,Population and dwelling counts,Population density per square kilometre,,,,,,
M5H,Population and dwelling counts,Land area (square km),,,,,,
M5J,Population and dwelling counts,Population in 2011,,,,,,10454
M5J,Population and dwelling counts,Population in 2006,,,,,,
M5J,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5J,Population and dwelling counts,Total private dwellings,,,,,,7137
M5J,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6316
M5J,Population and dwelling counts,Population density per square kilometre,,,,,,
M5J,Population and dwelling counts,Land area (square km),,,,,,
M5M,Population and dwelling counts,Population in 2011,,,,,,25852
M5M,Population and dwelling counts,Population in 2006,,,,,,
M5M,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5M,Population and dwelling counts,Total private dwellings,,,,,,9941
M5M,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,9536
M5M,Population and dwelling counts,Population density per square kilometre,,,,,,
M5M,Population and dwelling counts,Land area (square km),,,,,,
M5N,Population and dwelling counts,Population in 2011,,,,,,16349
M5N,Population and dwelling counts,Population in 2006,,,,,,
M5N,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5N,Population and dwelling counts,Total private dwellings,,,,,,6811
M5N,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6450
M5N,Population and dwelling counts,Population density per square kilometre,,,,,,
M5N,Population and dwelling counts,Land area (square km),,,,,,
M5P,Population and dwelling counts,Population in 2011,,,,,,18343
M5P,Population and dwelling counts,Population in 2006,,,,,,
M5P,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5P,Population and dwelling counts,Total private dwellings,,,,,,9181
M5P,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,8611
M5P,Population and dwelling counts,Population density per square kilometre,,,,,,
M5P,Population and dwelling counts,Land area (square km),,,,,,
M5R,Population and dwelling counts,Population in 2011,,,,,,25056
M5R,Population and dwelling counts,Population in 2006,,,,,,
M5R,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5R,Population and dwelling counts,Total private dwellings,,,,,,14907
M5R,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,13570
M5R,Population and dwelling counts,Population density per square kilometre,,,,,,
M5R,Population and dwelling counts,Land area (square km),,,,,,
M5S,Population and dwelling counts,Population in 2011,,,,,,13690
M5S,Population and dwelling counts,Population in 2006,,,,,,
M5S,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5S,Population and dwelling counts,Total private dwellings,,,,,,7622
