_id,Year,BranchCode,Registrations
1105,2022,GE,509
1106,2022,GHP,819
1107,2022,GW,430
1108,2022,HB,651
1109,2022,HC,811
1110,2022,HIL,771
1111,2022,HLS,37
1112,2022,HP,1167
1113,2022,HS,481
1114,2022,HW,574
1115,2022,JD,1404
1116,2022,JO,748
1117,2022,JS,1398
1118,2022,KE,1859
1119,2022,LB,736
1120,2022,LE,1432
1121,2022,LO,1204
1122,2022,LS,3242
1123,2022,MA,1040
1124,2022,MAL,2799
1125,2022,MAS,1424
1126,2022,MCG,1434
1127,2022,MD,866
1128,2022,MI,935
1129,2022,MP,7
1130,2022,MRV,1340
1131,2022,MS,1557
1132,2022,ND,3819
1133,2022,NE,380
1134,2022,NT,698
1135,2022,OV,691
1136,2022,PA,1515
1137,2022,PE,442
1138,2022,PK,2718
1139,2022,PL,1873
1140,2022,PM,879
1141,2022,PU,838
1142,2022,PV,582
1143,2022,QS,620
1144,2022,RD,976
1145,2022,RI,3175
1146,2022,RN,2074
1147,2022,RX,365
1148,2022,SA,1257
1149,2022,SB,81
1150,2022,SC,2536
1151,2022,SI,450
1152,2022,SJ,1864
1153,2022,SL,1880
1154,2022,SP,747
1155,2022,ST,1097
1156,2022,SW,157
1157,2022,SWS,1488
1158,2022,TA,408
1159,2022,TH,1589
1160,2022,TOD,183
1161,2022,TRL,9448
1162,2022,VIR,28250
1163,2022,VV,444
1164,2022,WE,1080
1165,2022,WP,413
1166,2022,WS,1788
1167,2022,WY,1035
1168,2022,YO,1081
1169,2022,YW,1116
